respondent_id,agency_name,loan_type_name,loan_type,property_type_name,property_type,loan_purpose_name,loan_purpose,owner_occupancy_name,owner_occupancy,loan_amount_000s,action_taken_name,action_taken,applicant_ethnicity_name,applicant_ethnicity,applicant_race_name_1,applicant_race_1,applicant_sex_name,applicant_sex,applicant_income_000s,hud_median_family_income_000s,tract_to_msamd_income,approval_status_name,income_class_name,,Action,Name,Reference
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,65,Application denied by financial institution,3,Not Hispanic or Latino,2,White,5,Male,1,42,57.3,92.9700012,,,,,,
722777,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,300,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,109,104.8,155.690002,,,,,,
2590037,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,120,Loan originated,1,Not Hispanic or Latino,2,Black or African American,3,Male,1,69,69.2,92.0100021,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,50,Loan originated,1,"Information not provided by applicant in mail, Internet, or telephone application",3,Black or African American,3,Female,2,,74.6,62.2400017,,,,,,
2735146,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,472,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,187,61.1,170.899994,,,,,,
54-0259290,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,238,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,109,102.6,71.5899963,,,,,,
480228,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,174,Application denied by financial institution,3,Not Hispanic or Latino,2,White,5,Female,2,106,74.7,123.660004,,,,,,
212465,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,1616,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,511,97.4,204.279999,,,,,,
480228,Consumer Financial Protection Bureau,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,115,Loan purchased by the institution,6,Not Hispanic or Latino,2,White,5,Female,2,32,74.3,77.9499969,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,195,Loan originated,1,Not Hispanic or Latino,2,Black or African American,3,Male,1,85,59.1,179.050003,,,,,,
617677,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Owner-occupied as a principal dwelling,1,5,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,159,79.3,150.199997,,,,,,
476810,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,424,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,159,73.7,106.919998,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,200,Loan purchased by the institution,6,Not Hispanic or Latino,2,Black or African American,3,Male,1,32,68.1,101.889999,,,,,,
480228,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Not owner-occupied as a principal dwelling,2,125,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,47,61.9,103.980003,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,377,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,219,64.3,165.679993,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,235,Loan originated,1,Not Hispanic or Latino,2,White,5,Female,2,66,60.5,97.2200012,,,,,,
451965,Consumer Financial Protection Bureau,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,432,Loan purchased by the institution,6,Not Hispanic or Latino,2,Black or African American,3,Female,2,80,94.3,73.6600037,,,,,,
972590,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,324,Application denied by financial institution,3,Not Hispanic or Latino,2,White,5,Female,2,173,74.5,104.93,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,284,Loan purchased by the institution,6,Not Hispanic or Latino,2,Asian,2,Female,2,128,67.7,180.399994,,,,,,
451965,Consumer Financial Protection Bureau,VA-guaranteed,3,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,55,Loan purchased by the institution,6,Not Hispanic or Latino,2,White,5,Male,1,33,62.5,102.580002,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,229,Loan purchased by the institution,6,Not Hispanic or Latino,2,White,5,Male,1,84,69.2,143.429993,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,310,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,198,70.9,163.899994,,,,,,
212465,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,604,Loan originated,1,Not Hispanic or Latino,2,Asian,2,Male,1,181,111.2,45.9300003,,,,,,
2489805,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,347,Loan originated,1,Not Hispanic or Latino,2,White,5,Female,2,153,69.2,213.479996,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,79,Loan originated,1,Hispanic or Latino,1,American Indian or Alaska Native,1,Female,2,21,63.2,100.400002,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,129,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,36,89.8,106.300003,,,,,,
675332,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Owner-occupied as a principal dwelling,1,11,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,72,46.5,190.669998,,,,,,
233031,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,63,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,,51.8,178.350006,,,,,,
852218,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,341,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,156,69.2,319.549988,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,64,Application denied by financial institution,3,Not Hispanic or Latino,2,White,5,Female,2,69,68.2,103.809998,,,,,,
808176,Consumer Financial Protection Bureau,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,103,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,69,47.2,72.5699997,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,331,Loan purchased by the institution,6,Not Hispanic or Latino,2,White,5,Male,1,136,72.2,84.8300018,,,,,,
617677,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,407,Loan originated,1,Not Hispanic or Latino,2,Black or African American,3,Male,1,95,72.5,180.119995,,,,,,
936855,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,178,Application approved but not accepted,2,Not Hispanic or Latino,2,White,5,Male,1,166,74.6,71.8199997,,,,,,
852218,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,655,Loan originated,1,Not Hispanic or Latino,2,White,5,Female,2,111,131.5,106.540001,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,176,Loan purchased by the institution,6,Not Hispanic or Latino,2,White,5,Male,1,71,70.9,119.650002,,,,,,
146672,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,299,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,133,58.4,184.639999,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Not owner-occupied as a principal dwelling,2,424,Application denied by financial institution,3,Hispanic or Latino,1,White,5,Male,1,176,73.4,129.940002,,,,,,
619877,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,131,Loan originated,1,Not Hispanic or Latino,2,White,5,Female,2,50,63.5,68.0999985,,,,,,
619877,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,168,Loan originated,1,Not Hispanic or Latino,2,White,5,Female,2,65,61.4,121.629997,,,,,,
504713,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,158,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,40,74.6,67.3799973,,,,,,
342634,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,210,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,115,78.2,169.839996,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,940,Loan originated,1,Hispanic or Latino,1,White,5,Male,1,412,68.1,169.690002,,,,,,
852218,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,245,Application denied by financial institution,3,Not Hispanic or Latino,2,Asian,2,Male,1,78,73.7,70.1699982,,,,,,
852218,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,252,Loan originated,1,Not Hispanic or Latino,2,Asian,2,Male,1,70,79.6,200.369995,,,,,,
852218,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,199,Loan purchased by the institution,6,Hispanic or Latino,1,White,5,Male,1,79,59.2,93.0999985,,,,,,
480228,Consumer Financial Protection Bureau,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,60,Loan purchased by the institution,6,Not Hispanic or Latino,2,White,5,Female,2,26,59.1,81.5699997,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,94,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,42,82.2,65.6600037,,,,,,
451965,Consumer Financial Protection Bureau,VA-guaranteed,3,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,163,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,65,69.2,110.739998,,,,,,
617677,Consumer Financial Protection Bureau,VA-guaranteed,3,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,210,Application denied by financial institution,3,Not Hispanic or Latino,2,White,5,Male,1,74,64.3,142.009995,,,,,,
12311,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,114,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,69,60.8,90.4100037,,,,,,
451965,Consumer Financial Protection Bureau,VA-guaranteed,3,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,190,Loan purchased by the institution,6,Hispanic or Latino,1,White,5,Male,1,63,61.9,133.830002,,,,,,
146672,Consumer Financial Protection Bureau,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,319,Loan originated,1,Hispanic or Latino,1,White,5,Male,1,131,72.5,129.330002,,,,,,
3303298,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Not owner-occupied as a principal dwelling,2,55,Loan originated,1,Not Hispanic or Latino,2,White,5,Female,2,60,84.9,118.959999,,,,,,
804963,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,494,Loan originated,1,Not Hispanic or Latino,2,Asian,2,Male,1,72,88,69.4899979,,,,,,
682563,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Owner-occupied as a principal dwelling,1,15,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,85,72.5,89.2799988,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,290,Loan purchased by the institution,6,Not Hispanic or Latino,2,White,5,Male,1,92,75.7,140.149994,,,,,,
817824,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,206,Application denied by financial institution,3,Not Hispanic or Latino,2,White,5,Male,1,271,91.6,113.629997,,,,,,
4186591,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,230,Application denied by financial institution,3,Not Hispanic or Latino,2,White,5,Male,1,96,54.3,123.650002,,,,,,
233031,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,76,Loan originated,1,Not Hispanic or Latino,2,White,5,Female,2,55,61.5,95.3899994,,,,,,
54-0259290,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,750,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,258,69.2,173.190002,,,,,,
852218,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,424,Loan purchased by the institution,6,Not Hispanic or Latino,2,White,5,Male,1,94,84,122.269997,,,,,,
817824,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Not owner-occupied as a principal dwelling,2,20,Application denied by financial institution,3,Not Hispanic or Latino,2,Black or African American,3,Female,2,35,67.9,91.2699966,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,374,Loan purchased by the institution,6,Not Hispanic or Latino,2,Black or African American,3,Female,2,103,77.5,152.240005,,,,,,
852320,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,199,Loan originated,1,"Information not provided by applicant in mail, Internet, or telephone application",3,White,5,Female,2,56,91.1,110.82,,,,,,
54-0259290,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,210,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,144,69.2,241.899994,,,,,,
852218,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,500,Loan purchased by the institution,6,Not Hispanic or Latino,2,White,5,Male,1,152,88,134.929993,,,,,,
2590037,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Not owner-occupied as a principal dwelling,2,90,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,140,61.4,150.889999,,,,,,
75633,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,150,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,92,65.5,122.360001,,,,,,
852218,Consumer Financial Protection Bureau,VA-guaranteed,3,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,219,Loan purchased by the institution,6,Not Hispanic or Latino,2,Black or African American,3,Male,1,54,89.8,102.809998,,,,,,
451965,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,200,Loan purchased by the institution,6,Not Hispanic or Latino,2,White,5,Female,2,26,66.2,74.4499969,,,,,,
480228,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,774,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,279,83.9,161.210007,,,,,,
617677,Consumer Financial Protection Bureau,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Not owner-occupied as a principal dwelling,2,30,Application denied by financial institution,3,Not Hispanic or Latino,2,Black or African American,3,Female,2,19,63.3,72.7099991,,,,,,
617677,Consumer Financial Protection Bureau,VA-guaranteed,3,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,264,Loan originated,1,Not Hispanic or Latino,2,White,5,Male,1,114,67.4,90.5699997,,,,,,
